timestamp,cpu_percent,memory_percent
2025-05-31 22:33:53.696474,48.6,60.3
2025-05-31 22:34:24.784105,49.0,60.2
2025-05-31 22:34:55.968472,49.7,60.3
2025-05-31 22:35:27.072287,62.8,60.2
2025-05-31 22:35:58.128640,87.7,60.9
2025-05-31 22:36:29.180207,52.5,60.6
2025-05-31 22:37:00.199605,68.4,59.1
2025-05-31 22:37:31.225841,65.0,59.0
2025-05-31 22:38:02.244559,71.8,59.0
2025-05-31 22:38:33.276562,85.9,59.9
2025-05-31 22:39:04.296906,77.2,60.8
2025-05-31 22:39:35.331189,57.3,60.6
2025-05-31 22:40:06.354132,58.1,60.8
2025-05-31 22:40:37.385375,54.7,61.2
2025-05-31 22:41:08.399287,60.1,60.6
2025-05-31 22:41:39.426912,63.2,60.4
2025-05-31 22:42:10.443280,71.3,59.3
2025-05-31 22:42:41.459440,55.8,59.5
2025-05-31 22:43:12.476086,66.3,59.9
2025-05-31 22:43:43.495403,57.0,59.3
2025-05-31 22:44:14.514118,55.8,59.4
2025-05-31 22:44:45.541027,71.9,59.6
2025-05-31 22:45:16.560224,71.6,59.6
2025-05-31 22:45:47.576405,65.4,59.4
2025-05-31 22:46:18.602450,2.7,59.3
2025-05-31 22:46:49.618627,1.8,59.1
2025-05-31 22:47:20.638594,4.2,57.9
2025-05-31 22:47:51.656342,4.0,57.7
2025-05-31 22:48:22.671976,2.0,57.9
2025-05-31 22:48:53.695216,2.6,57.7
2025-05-31 22:49:24.746292,49.5,59.0
2025-05-31 22:49:55.791364,51.7,58.9
2025-05-31 22:50:26.892890,46.9,59.0
2025-05-31 22:50:57.915814,9.7,59.1
2025-05-31 22:51:28.998868,76.1,59.2
2025-05-31 22:52:00.102663,44.6,59.1
2025-05-31 22:52:31.159685,47.6,59.2
2025-05-31 22:53:02.210882,43.4,59.1
2025-05-31 22:53:33.228865,44.1,59.1
2025-05-31 22:54:04.275855,35.3,59.2
2025-05-31 22:54:35.292222,2.2,59.3
2025-05-31 22:55:06.301059,7.9,59.9
2025-05-31 22:55:37.314659,6.9,59.7
2025-05-31 22:56:08.329332,2.7,59.6
2025-05-31 22:56:39.346901,2.4,59.6
2025-05-31 22:57:10.360996,3.3,59.5
2025-05-31 22:57:41.376351,3.0,59.2
2025-05-31 22:58:12.392563,2.9,59.4
2025-05-31 22:58:43.407396,1.6,59.3
2025-05-31 22:59:14.421687,3.1,58.3
2025-05-31 22:59:45.434986,5.1,58.7
2025-05-31 23:00:16.447924,2.5,58.7
2025-05-31 23:00:47.463335,3.1,59.1
2025-05-31 23:01:18.478632,2.3,59.0
2025-05-31 23:01:49.497331,73.1,59.5
2025-05-31 23:02:20.573252,46.3,59.1
2025-05-31 23:02:51.655378,44.7,59.9
2025-05-31 23:03:22.676918,47.6,59.9
2025-05-31 23:03:53.761190,45.8,59.7
2025-05-31 23:04:24.775394,32.2,59.8
2025-05-31 23:04:55.837827,51.9,60.1
2025-05-31 23:05:26.875003,47.5,59.8
2025-05-31 23:05:57.900234,45.8,59.8
2025-05-31 23:06:28.948440,42.9,59.9
2025-05-31 23:06:59.963075,44.3,59.9
2025-05-31 23:07:30.984983,47.6,59.4
2025-05-31 23:08:02.087612,94.9,59.7
2025-05-31 23:08:33.127809,71.8,59.5
2025-05-31 23:09:04.152669,65.9,59.4
2025-05-31 23:09:35.199119,76.8,59.6
2025-05-31 23:10:06.243093,72.4,59.5
2025-05-31 23:10:37.274397,72.9,59.4
2025-05-31 23:11:08.294209,70.1,59.2
2025-05-31 23:11:39.320199,64.4,59.3
2025-05-31 23:12:10.335918,68.7,59.4
2025-05-31 23:12:41.358517,70.4,58.1
2025-05-31 23:13:12.383336,63.6,58.3
2025-05-31 23:13:43.401226,74.8,58.3
2025-05-31 23:14:14.421225,74.8,58.4
2025-05-31 23:14:45.444239,79.5,58.7
2025-05-31 23:15:16.473394,70.1,58.6
2025-05-31 23:15:47.506946,72.9,58.4
2025-05-31 23:16:18.528375,65.9,58.3
2025-05-31 23:16:49.564376,69.6,58.3
2025-05-31 23:17:20.588032,69.0,58.3
2025-05-31 23:17:51.610601,66.6,57.2
2025-05-31 23:18:22.624391,70.5,57.3
2025-05-31 23:18:53.655840,64.2,57.4
2025-05-31 23:19:24.687248,67.2,57.4
2025-05-31 23:19:55.705226,73.5,57.5
2025-05-31 23:20:26.725787,74.5,57.5
2025-05-31 23:20:57.742788,71.1,57.3
2025-05-31 23:21:28.775436,72.4,57.4
2025-05-31 23:21:59.795429,74.2,57.7
2025-05-31 23:22:30.813887,64.7,56.7
2025-05-31 23:23:01.834891,74.7,56.8
2025-05-31 23:23:32.873398,73.3,58.9
2025-05-31 23:24:03.891086,71.4,58.9
2025-05-31 23:24:34.914718,78.2,59.1
2025-05-31 23:25:05.930620,74.9,59.3
2025-05-31 23:25:36.953618,67.7,59.4
2025-05-31 23:26:07.972297,71.9,59.4
2025-05-31 23:26:39.009160,71.4,59.2
2025-05-31 23:27:10.029341,79.2,59.1
2025-05-31 23:27:41.047337,68.2,59.3
2025-05-31 23:28:12.069111,75.5,59.2
2025-05-31 23:28:43.092368,64.9,59.2
2025-05-31 23:29:14.113369,68.3,59.4
2025-05-31 23:29:45.132099,68.3,59.9
2025-05-31 23:30:16.158447,62.4,59.7
2025-05-31 23:30:47.179079,22.8,59.7
2025-05-31 23:31:18.196582,64.8,59.7
2025-05-31 23:31:49.227740,66.8,59.7
2025-05-31 23:32:20.242070,59.8,59.7
2025-05-31 23:32:51.263064,73.8,59.6
2025-05-31 23:33:22.285756,67.1,59.9
2025-05-31 23:33:53.311253,70.9,60.5
2025-05-31 23:34:24.324105,66.7,60.3
2025-05-31 23:34:55.346121,70.9,60.4
2025-05-31 23:35:26.368121,73.6,61.5
2025-05-31 23:35:57.388636,70.1,60.7
2025-05-31 23:36:28.407636,60.9,60.4
2025-05-31 23:36:59.433651,69.9,60.8
2025-05-31 23:37:30.459646,63.1,61.4
2025-05-31 23:38:01.484536,70.6,61.8
2025-05-31 23:38:32.511522,55.5,61.8
2025-05-31 23:39:03.539761,57.2,61.6
2025-06-01 01:09:10.529032,98.9,60.9
2025-06-01 07:12:39.625205,99.7,64.0
2025-06-01 07:13:10.636136,32.9,65.7
2025-06-01 07:13:41.645579,46.3,64.6
2025-06-01 07:14:12.655768,11.1,65.7
2025-06-01 07:14:43.669196,3.1,65.7
2025-06-01 07:15:14.684350,1.8,65.5
2025-06-01 07:15:45.705705,20.3,65.3
2025-06-01 07:16:16.714854,30.8,65.3
2025-06-01 07:16:47.729551,22.5,65.0
2025-06-01 07:17:18.738579,16.7,65.2
2025-06-01 07:17:49.744591,15.4,65.2
2025-06-01 07:18:20.755281,57.6,66.0
2025-06-01 07:18:51.763939,36.1,66.0
2025-06-01 07:19:22.776747,12.5,65.5
2025-06-01 07:19:53.786429,10.2,65.4
2025-06-01 07:20:24.800941,14.6,65.4
2025-06-01 07:20:55.808601,7.7,65.0
2025-06-01 07:21:26.817706,19.3,64.8
2025-06-01 07:21:57.827668,7.2,64.8
2025-06-01 07:22:28.835685,9.5,64.8
2025-06-01 07:22:59.846908,12.0,64.9
2025-06-01 07:23:30.853561,7.1,64.7
2025-06-01 07:24:01.863169,14.9,64.8
2025-06-01 07:24:32.875840,11.1,64.6
2025-06-01 07:25:03.885032,10.1,64.9
2025-06-01 07:25:34.891394,8.1,65.0
2025-06-01 07:26:05.910849,54.8,65.0
2025-06-01 07:26:36.937624,70.2,64.8
2025-06-01 07:27:07.956111,69.3,65.1
2025-06-01 07:27:39.009120,71.1,65.0
2025-06-01 07:28:10.028411,64.6,65.1
2025-06-01 07:28:41.046020,68.0,64.2
2025-06-01 07:29:12.064654,67.7,64.2
2025-06-01 07:29:43.077681,62.4,64.1
2025-06-01 07:30:14.099091,66.0,64.4
2025-06-01 07:30:45.121887,72.6,64.3
2025-06-01 07:31:16.134570,76.8,64.2
2025-06-01 07:31:47.156259,70.0,64.2
2025-06-01 07:32:18.170618,74.5,64.3
2025-06-01 07:32:49.207145,72.2,64.7
2025-06-01 07:33:20.237644,73.5,64.8
