epoch,timestamp,epoch_time,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,2025-05-31T21:48:39.573606,855.2081949710846,0.6676409840583801,0.720116138458252,1.3558402061462402,0.6704797148704529,0.6465836763381958,0.6726793050765991,0.7540503740310669,0.9613375067710876,0.6726793050765991,0.6726793050765991,0.0010000000474974513
2,2025-05-31T21:52:20.267202,220.6225941181183,0.672669529914856,0.7216142416000366,1.1639494895935059,0.6723728179931641,0.6666038036346436,0.6726793050765991,0.7485578060150146,1.0194718837738037,0.6726793050765991,0.6726793050765991,0.0010000000474974513
3,2025-05-31T21:55:47.445222,207.16102027893066,0.6726381182670593,0.7220754027366638,1.1515568494796753,0.6727926135063171,0.6707838177680969,0.6726793050765991,0.7559045553207397,0.9954217076301575,0.6726793050765991,0.6726793050765991,0.0010000000474974513
4,2025-05-31T22:11:03.625017,916.1637980937958,0.6726381182670593,0.7219204902648926,1.1469111442565918,0.6726489663124084,0.6726067066192627,0.6726793050765991,0.7524887919425964,0.9682717323303223,0.6726793050765991,0.6726793050765991,0.0010000000474974513
5,2025-05-31T22:17:52.368270,408.7248909473419,0.6726381182670593,0.7218542098999023,1.1432024240493774,0.6726381182670593,0.6726381182670593,0.6726793050765991,0.7440696954727173,0.9940380454063416,0.6726793050765991,0.6726793050765991,0.0010000000474974513
6,2025-05-31T22:24:23.510474,391.11640977859497,0.6726381182670593,0.721869945526123,1.138393759727478,0.6726381182670593,0.6726381182670593,0.6726793050765991,0.7494359016418457,0.9884830713272095,0.6726793050765991,0.6726793050765991,0.0010000000474974513
7,2025-05-31T22:31:12.254156,408.72367310523987,0.6726381182670593,0.7255876660346985,1.1308679580688477,0.6726381182670593,0.6726381182670593,0.6726793050765991,0.7497153282165527,0.9662165641784668,0.6726793050765991,0.6726793050765991,0.0005000000237487257
8,2025-05-31T22:35:16.694748,244.42959308624268,0.6726381182670593,0.7256845235824585,1.1263796091079712,0.6726381182670593,0.6726381182670593,0.6726793050765991,0.7491198778152466,0.9680135846138,0.6726793050765991,0.6726793050765991,0.0005000000237487257
9,2025-05-31T22:39:25.052099,248.34135103225708,0.6726381182670593,0.7261284589767456,1.1227082014083862,0.6726381182670593,0.6726381182670593,0.6726793050765991,0.73796147108078,1.0054627656936646,0.6726793050765991,0.6726793050765991,0.0005000000237487257
1,2025-05-31T22:44:16.165690,290.8650915622711,0.715569794178009,0.8796014785766602,0.6425619125366211,0.7427971363067627,0.7000754475593567,0.08886933326721191,0.31665199995040894,9.72177791595459,0.08886933326721191,0.08886933326721191,9.999999747378752e-05
2,2025-05-31T22:52:40.997712,504.12591767311096,0.7404299378395081,0.9171581864356995,0.4976429343223572,0.7615692615509033,0.7235841155052185,0.08886933326721191,0.3218763470649719,6.642580986022949,0.08886933326721191,0.08886933326721191,9.999999747378752e-05
3,2025-05-31T23:04:24.529795,703.5190334320068,0.7573386430740356,0.9251244068145752,0.4673604667186737,0.7738615274429321,0.7348985075950623,0.6726793050765991,0.9014729857444763,1.3061953783035278,0.6726793050765991,0.6726793050765991,9.999999747378752e-05
